No Perolehan,ISBN,Title,Author,Publisher,Year,Pages,Price,Language,Type,Dewey,Initial,Quantity,,
00058,9679712702,Saya Datang Dari Vietnam,Jo Matthews,Flo Enterprise Sdn. Bhd.,1995,32,33.00,Malay,NF,900,MAT,2,,
00059,9679712729,Saya Datang Dari Bosnia,Anita Ganeri,Flo Enterprise Sdn. Bhd.,1995,32,33.00,Malay,NF,900,GAN,2,,
00060,9838233129,Amerika Selatan 1,B.C. Tan,Penerbit Prisma Sdn. Bhd. ,1995,43,Dihadiahkan,Malay,NF,910,SER,2,,
00061,9837501502,Siri Bencana Alam: Ribut,Jenny Wood,Penerbit Pan Earth Sdn. Bhd,1994,31,42.00,Malay,NF,910,BEN,1,,
00062,9837501529,Siri Bencana Alam: Gunung Berapi,John Dudman,Penerbit Pan Earth Sdn. Bhd,1994,31,42.00,Malay,NF,910,BEN,1,,
00063,9837501510,Siri Bencana Alam: Banjir,Julia Waterlow,Penerbit Pan Earth Sdn. Bhd,1994,31,42.00,Malay,NF,910,BEN,1,,
00064,9679569322,Memerhati Cuaca: Ribut,Philip Steele,Penerbit Pan Earth Sdn. Bhd,1993,31,28.00,Malay,NF,910,STE,1,,
00065,9679569314,Memerhati Cuaca: Angin,Philip Steele,Penerbit Pan Earth Sdn. Bhd,1993,31,28.00,Malay,NF,910,STE,1,,
00066,9679569330,Memerhati Cuaca: Tempoh Lampau Panans,Philip Steele,Penerbit Pan Earth Sdn. Bhd,1993,31,28.00,Malay,NF,910,STE,1,,
00067,9679569306,Memerhati Cuaca: Fros,Philip Steele,Penerbit Pan Earth Sdn. Bhd,1993,31,28.00,Malay,NF,910,STE,1,,
00068,9679569284,Memerhati Cuaca: Hujan,Philip Steele,Penerbit Pan Earth Sdn. Bhd,1993,31,28.00,Malay,NF,910,STE,1,,
00069,9781626727908,Science Comics : Wild Weather,MK Reed,First Second,2019,116,29.90,English,NF,500,REE,1,,
00070,9781626727946,Science Comics : Skyscrapers,John Kerschbaum,First Second,2019,128,29.90,English,NF,500,KER,1,,
00071,9781626727885,Science Comic: Sharks,Joe Flood,First Second,2018,122,29.90,English,NF,500,FLO,1,,
00072,9781626727687,Science Comics : Dogs,Andy Hirsch,First Second,2017,128,29.90,English,NF,500,HIR,1,,
00073,9781626724082,Science Comics: Bats,Falynn Koch,Roaring Brook Press,2017,122,29.90,English,NF,500,KOC,1,,
00074,9781626721418,Science Comics: Solar System,Rosemary Mosco,First Second Books,2018,116,29.90,English,NF,500,MOS,1,,
00075,9781626721456,Science Comics: Coral Reefs,Maris Wicks,Roaring Brook Press,2016,119,29.90,English,NF,500,WIC,1,,
00076,9781626721395,Science Comics: Flying Machines,"Alison Wilgus, Molly Brooks","First Second, an imprint of Roaring Brook Press",2017,130,29.90,English,NF,500,WIL,1,,
00077,9781626728028,Science Comics : Crows,Kyla Vanderklugt,First Second,2020,128,29.90,English,NF,500,VAN,1,,
00078,9781626728226,Science Comics : Cars,Dan Zettwoch,First Second,2019,128,29.90,English,NF,500,ZET,1,,
00079,9781250222831,Science Comics : Spiders,Tait Howard,Roaring Brook Press,2021,118,29.90,English,NF,500,HOW,1,,
00080,9781338182743,Thea Stilton Mouseford Academy: The Friendship Recipe,Thea Stilton,Scholastic,2019,108,23.90,English,F,FE,THE,1,,
00081,9780545917971,Thea Stilton Mouseford Academy: A Dream on Ice,Thea Stilton,Scholastic ,2016,108,23.90,English,F,FE,THE,1,,
00082,9781338116595,Thea Stilton Mouseford Academy: The Secret Notebook,Thea Stilton,Scholastic,2019,128,23.90,English,F,FE,THE,1,,
00083,9780545808989,Thea Stilton Mouseford Academy: Dance Challenge,Thea Stilton,Scholastic,2014,112,23.90,English,F,FE,THE,1,,
00084,9781338140293,Thea Stilton Mouseford Academy: A Fashionable Mystery,Thea Stilton,Scholastic,2017,108,23.90,English,F,FE,THE,1,,
00085,9789833656028,Pahlawan Pahang dan Melaka,Noor Masliza Md Salleh,Pustaka Cahaya Intelek,2006,60,10.33,Malay,NF,906,NOR,1,,
00086,9789833656042,Pahlawan Kedah dan Selangor,Noor Masliza Md Salleh,Pustaka Cahaya Intelek,2006,60,10.33,Malay,NF,906,NOR,1,,
00087,9789833656035,Pahlawan Perak,Rohailiza Kasim,Pustaka Cahaya Intelek,2006,68,10.33,Malay,NF,906,ROH,1,,
